lang,date,average_sentiment_polarity
pl,2022-05-11,0.0
pl,2022-05-13,0.0
pl,2022-05-15,0.0
pl,2022-05-16,0.0
pl,2022-05-18,0.0
pl,2022-05-20,0.0
pl,2022-05-23,0.0
pl,2022-05-24,0.0
pl,2022-05-26,0.0
pl,2022-05-29,0.0
pl,2022-05-30,-1.0
pl,2022-06-02,0.0
pl,2022-06-03,0.3333333333333333
pl,2022-06-04,0.5
pl,2022-06-05,0.5
pl,2022-06-06,0.0
pl,2022-06-07,-0.1
pl,2022-06-08,0.0
pl,2022-06-09,0.0
pl,2022-06-12,0.0
pl,2022-06-13,0.0
pl,2022-06-14,0.0
pl,2022-06-15,0.5
pl,2022-06-17,0.0
pl,2022-06-18,0.0
pl,2022-06-19,0.0
pl,2022-06-21,0.0
pl,2022-06-22,0.0
pl,2022-06-25,0.0
pl,2022-06-26,0.0
pl,2022-06-27,0.0
pl,2022-06-28,0.0
pl,2022-07-03,0.0
pl,2022-07-04,0.0
pl,2022-07-05,0.8
pl,2022-07-06,-0.0666666666666666
pl,2022-07-07,0.0
pl,2022-07-08,0.0
pl,2022-07-10,0.0
pl,2022-07-12,0.0
pl,2022-07-14,0.0
pl,2022-07-16,0.0
pl,2022-07-18,0.0
pl,2022-07-19,0.0
pl,2022-07-20,0.0
pl,2022-07-21,0.0
pl,2022-07-22,0.375
pl,2022-07-23,0.0
pl,2022-07-25,0.0
pl,2022-07-26,0.0
pl,2022-07-27,0.0
pl,2022-07-28,0.0583333333333333
pl,2022-07-29,0.0
pl,2022-07-30,0.0
pl,2022-07-31,0.0
pl,2022-08-02,0.0
pl,2022-08-04,0.0
pl,2022-08-05,0.0
pl,2022-08-06,0.0
pl,2022-08-08,0.0
pl,2022-08-10,0.0333333333333333
pl,2022-08-11,0.0
pl,2022-08-12,0.0
pl,2022-08-13,0.0
pl,2022-08-14,0.0
pl,2022-08-15,0.0
pl,2022-08-17,0.0
pl,2022-08-18,0.0
pl,2022-08-20,0.25
pl,2022-08-21,0.0
pl,2022-08-22,0.0
pl,2022-08-23,0.0
pl,2022-08-26,0.0
pl,2022-08-27,0.0
pl,2022-08-28,0.0
pl,2022-08-30,0.0
pl,2022-08-31,0.020595238095238
pl,2022-09-02,0.0
pl,2022-09-03,0.25
pl,2022-09-05,0.0
pl,2022-09-07,0.0
pl,2022-09-09,0.0
pl,2022-09-10,-0.703125
pl,2022-09-11,0.0
pl,2022-09-13,0.0
pl,2022-09-16,0.0
pl,2022-09-17,0.0
pl,2022-09-18,0.0
pl,2022-09-19,0.0
pl,2022-09-20,0.0625
pl,2022-09-21,0.0
pl,2022-09-22,0.0
pl,2022-09-25,0.0
pl,2022-09-26,0.0
pl,2022-09-28,0.0
pl,2022-09-29,0.0
pt,2020-01-23,0.0
pt,2020-01-24,0.0
pt,2020-01-25,0.0
pt,2020-01-26,-0.8
pt,2020-01-27,-0.0294117647058823
pt,2020-01-28,0.0068181818181818
pt,2020-01-29,0.0041666666666666
pt,2020-01-30,-0.0555555555555555
pt,2020-01-31,0.0
pt,2020-02-01,0.0
pt,2020-02-02,0.0
pt,2020-02-03,0.0
pt,2020-02-05,0.0
pt,2020-02-06,0.0
pt,2020-02-07,0.0
pt,2020-02-08,0.0
pt,2020-02-09,0.0
pt,2020-02-10,0.0
pt,2020-02-11,-0.0056547619047619
pt,2020-02-12,-0.08
pt,2020-02-13,-0.0454545454545454
pt,2020-02-14,0.0
pt,2020-02-15,0.0
pt,2020-02-16,0.0
pt,2020-02-17,0.0
pt,2020-02-18,0.0
pt,2020-02-19,0.0
pt,2020-02-20,0.0
pt,2020-02-21,0.0357142857142857
pt,2020-02-22,0.0
pt,2020-02-24,0.0
pt,2020-02-26,0.0
pt,2020-02-27,-0.0130434782608695
pt,2020-02-28,0.0035714285714285
pt,2020-02-29,0.0
pt,2020-03-01,0.0133333333333333
pt,2020-03-02,-0.0714285714285714
pt,2020-03-03,-0.0625
pt,2020-03-04,-0.0666666666666666
pt,2020-03-05,0.0
pt,2020-03-06,0.025
pt,2020-03-07,0.0
pt,2020-03-08,0.0
pt,2020-03-09,-0.16
pt,2020-03-10,0.0076923076923076
pt,2020-03-11,0.04
pt,2020-03-12,0.0678571428571428
pt,2020-03-13,0.0333333333333333
pt,2020-03-14,0.0416666666666666
pt,2020-03-15,0.0
pt,2020-03-16,0.0009009009009009
pt,2020-03-17,0.0064935064935064
pt,2020-03-18,0.0020833333333333
pt,2020-03-19,0.0118697478991596
pt,2020-03-20,-0.0142857142857142
pt,2020-03-21,-0.075
pt,2020-03-22,-0.0395833333333333
pt,2020-03-23,0.0
pt,2020-03-24,0.0
pt,2020-03-25,0.0
pt,2020-03-26,-0.0181159420289855
pt,2020-03-27,0.0
pt,2020-03-28,0.0333333333333333
pt,2020-03-29,-0.0249999999999999
pt,2020-03-30,0.0
pt,2020-03-31,-0.0024925595238095
pt,2020-04-01,0.0013586956521739
pt,2020-04-02,0.0
pt,2020-04-03,-0.0160214432460195
pt,2020-04-04,-0.1255902777777778
pt,2020-04-05,-0.0415
pt,2020-04-06,0.0031669150521609
pt,2020-04-07,-0.0500457875457875
pt,2020-04-08,-0.0615447957839262
pt,2020-04-09,-0.0555555555555555
pt,2020-04-10,-0.0265770687645687
pt,2020-04-11,-0.0411504424778761
pt,2020-04-12,-0.0101123595505617
pt,2020-04-13,-0.0290659762178749
pt,2020-04-14,-0.017391304347826
pt,2020-04-15,-0.0509803921568627
pt,2020-04-16,0.0
pt,2020-04-17,-0.0395833333333333
pt,2020-04-18,-0.0286163522012578
pt,2020-04-19,-0.0425675675675675
pt,2020-04-20,-0.0050109493371212
pt,2020-04-21,-0.0097560975609756
pt,2020-04-22,-0.0107142857142857
pt,2020-04-23,0.0011396011396011
pt,2020-04-24,-0.0298677884615384
pt,2020-04-25,-0.0555555555555555
pt,2020-04-26,0.0
pt,2020-04-27,0.0005208333333333
pt,2020-04-28,-0.0592447916666666
pt,2020-04-29,-0.0088235294117647
pt,2020-04-30,0.0
pt,2020-05-01,-0.028125
pt,2020-05-02,-0.1111111111111111
pt,2020-05-03,-0.0727272727272727
pt,2020-05-04,-0.0294117647058823
pt,2020-05-05,0.0122807017543859
pt,2020-05-06,-0.0256410256410256
pt,2020-05-07,0.0076923076923076
pt,2020-05-08,0.0040106951871657
pt,2020-05-09,0.0181818181818181
pt,2020-05-10,0.0166666666666666
pt,2020-05-11,0.0
pt,2020-05-12,0.0097222222222222
pt,2020-05-13,-0.09375
pt,2020-05-14,0.0036231884057971
pt,2020-05-15,0.001068376068376
pt,2020-05-16,0.0
pt,2020-05-17,0.025
pt,2020-05-18,-0.0166115702479338
pt,2020-05-19,0.0454545454545454
pt,2020-05-20,-0.0384615384615384
pt,2020-05-21,0.0104895104895104
pt,2020-05-22,-0.0729166666666666
pt,2020-05-23,0.0
pt,2020-05-24,-0.0739130434782608
pt,2020-05-25,0.01625
pt,2020-05-26,0.0166666666666666
pt,2020-05-27,-0.0416666666666666
pt,2020-05-28,0.0
pt,2020-05-29,0.0
pt,2020-05-30,0.0333333333333333
pt,2020-05-31,0.0555555555555555
pt,2020-06-01,-0.0291666666666666
pt,2020-06-02,0.0
pt,2020-06-03,0.0
pt,2020-06-04,0.0
pt,2020-06-05,0.0372222222222222
pt,2020-06-06,0.0031835150742698
pt,2020-06-07,0.0016947916666666
pt,2020-06-08,0.0023953301127214
pt,2020-06-09,-0.0029914529914529
pt,2020-06-10,-0.010429108604291
pt,2020-06-11,-0.0044526901669758
pt,2020-06-12,-0.0010785824345146
pt,2020-06-13,-0.0197285353535353
pt,2020-06-14,0.0
pt,2020-06-15,-0.0232558139534883
pt,2020-06-16,-0.0222222222222222
pt,2020-06-17,-0.0032258064516129
pt,2020-06-18,0.0214285714285714
pt,2020-06-19,-0.0333333333333333
pt,2020-06-20,0.0189393939393939
pt,2020-06-21,0.0
pt,2020-06-22,0.0006666666666666
pt,2020-06-23,0.0073710073710073
pt,2020-06-24,0.0253333333333333
